test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
ktea3,KTEA-3,Math Concepts & Applications,Academic Skills,Math,Mathematical Knowledge,Simultaneous,,Untimed,npsych_test,standard_score,"Applying mathematical principles to real-life situations, ranging from basic concepts, everyday applications, geometry, and algebra"
ktea3,KTEA-3,Math Fluency,Academic Skills,Math,Number Facility,Simultaneous,Nonverbal,Timed,npsych_test,standard_score,"Overall speed/fluency in solving fact-based addition, subtraction, and multiplication problems"
ktea3,KTEA-3,Math Composite,Academic Skills,Math,Quantitative Reasoning,Simultaneous,,Untimed,npsych_test,standard_score,Estimate of overall mathematics skills in the domains of math comprehension and problem solving and math computation
ktea3,KTEA-3,Oral Language Composite,Verbal/Language,Oral Language,Comprehension-Knowledge,Sequential,Verbal,Untimed,npsych_test,standard_score,"Overall estimate of receptive and expressive language skills at the level of the word, sentence, passage, and discourse"
ktea3,KTEA-3,Letter Naming Facility,Academic Skills,Reading,Naming Facility,Sequential,,Timed,npsych_test,standard_score,Rapid automatic naming (letters)
ktea3,KTEA-3,Object Naming Facility,Academic Skills,Reading,Naming Facility,Sequential,,Timed,npsych_test,standard_score,Rapid automatic naming (objects)
ktea3,KTEA-3,Phonological Processing,Academic Skills,Reading,Phonetic Coding,Simultaneous,,Untimed,npsych_test,standard_score,Auditory processing of phonemic proficiency and phonic decoding skills
ktea3,KTEA-3,Sound-Symbol Composite,Academic Skills,Reading,Phonological Processing,Sequential,,Untimed,npsych_test,standard_score,Composite measure of reading and spelling skills??
ktea3,KTEA-3,Reading Composite,Academic Skills,Reading,Reading Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Composite score of decoding and comprehension that balances word-level and text-level reading skills
ktea3,KTEA-3,Orthographic Processing Composite,Academic Skills,Reading,Reading and Writing,Sequential,,Untimed,npsych_test,standard_score,"Overall measure of orthographic processing, including the size of the examinees orthographic lexicon and the quality of orthographic representations"
ktea3,KTEA-3,Reading Comprehension,Academic Skills,Reading,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,standard_score,"Reading comprehension skills at the level of word, sentence, and passage"
ktea3,KTEA-3,Reading Understanding Composite,Academic Skills,Reading,Reading Comprehension,Sequential,,Untimed,npsych_test,standard_score,"Reading comprehension skills at the level of word, sentence, and passage"
ktea3,KTEA-3,Reading Vocabulary,Academic Skills,Reading,Reading Comprehension,Sequential,,Untimed,npsych_test,standard_score,Vocabulary reading comprehension
ktea3,KTEA-3,Decoding Composite,Academic Skills,Reading,Reading Decoding,Sequential,,Untimed,npsych_test,standard_score,Composite estimate of decontextualized phonic decoding and word reading skills
ktea3,KTEA-3,Letter & Word Recognition,Academic Skills,Reading,Reading Decoding,Sequential,Verbal,Untimed,npsych_test,standard_score,Single word reading/decoding of a list of regular and irregular words
ktea3,KTEA-3,Nonsense Word Decoding,Academic Skills,Reading,Reading Decoding,Sequential,,Untimed,npsych_test,standard_score,Phonic decoding skills by reading aloud a list of pseudowords
ktea3,KTEA-3,Decoding Fluency,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,Phonic decoding fluency
ktea3,KTEA-3,Reading Fluency Composite,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,General reading speed/fluncy
ktea3,KTEA-3,Silent Reading Fluency,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,Non oral reading fluency
ktea3,KTEA-3,Word Recognition Fluency,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,"Orthographic lexicon, or sight vocabulary fluency"
ktea3,KTEA-3,Spelling,Academic Skills,Writing,Spelling Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Written spelling of words from dictations
ktea3,KTEA-3,Written Expression,Academic Skills,Writing,Writing Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Overall written expression skills including spelling and expository/contextual writing
ktea3,KTEA-3,Writing Fluency,Academic Skills,Writing,Writing Speed,Sequential,,Timed,npsych_test,standard_score,Sentence level writing fluency
ktea3,KTEA-3,Written Language Composite,Academic Skills,Writing,Written Language Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Overall written expression skills including spelling and expository/contextual writing
nab,NAB,Digits Forward,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory attentional capacity, or how much information can be processed at once"
nab,NAB,Digits Forward Longest Span,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,raw_score,Auditory attentional capacity
nab,NAB,Numbers & Letters Part B Efficiency,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,"A speeded focused attention letter-counting task requiring the patient to count all of the target letters (X) in successive rows of random numbers and letters (psycho, count)"
nab,NAB,Numbers & Letters Part C Efficiency,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,"A speeded serial addition task requiring the patient to add numbers in successive rows of random numbers and letters on a page (psycho, add)"
nab,NAB,Numbers & Letters Part D Disruption,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,Difference between selective attention and divided attention
nab,NAB,Numbers & Letters Part D Efficiency,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,"Performance on a complex measure of divided attention (cancelling + counting), information processing speed, and inhibition"
nab,NAB,Orientation,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,percentile,"Orientation to person, place, time, and situation"
nab,NAB,Orientation to Place,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Place
nab,NAB,Orientation to Self,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Self
nab,NAB,Orientation to Situation,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Situation
nab,NAB,Orientation to Time,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Time
nab,NAB,List Learning Intrusions,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of non-list words incorrectly recalled during the List Learning task
nab,NAB,List Learning Perseverations,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of repeated responses or perseverations made during the List Learning task
nab,NAB,Numbers & Letters Part A Errors,Attention/Executive,Attention,Response Monitoring,Attention,Nonverbal,Timed,npsych_test,t_score,A marker of reduced focus and distractibility
nab,NAB,Word Generation Perseverations,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,percentile,Self-monitoring and perseverative tendencies
nab,NAB,Attention Index (ATT),Attention/Executive,Attention Index,Attention Index,,,,npsych_test,standard_score,An overall measure of the examinee's attentional functioning
nab,NAB,Auditory Comprehension,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)"
nab,NAB,Auditory Comprehension Colors,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehnsion colors
nab,NAB,Auditory Comprehension Colors/Shapes/Numbers,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehension colors/shapes/numbers
nab,NAB,Auditory Comprehension Paper Folding,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension paper folding
nab,NAB,Auditory Comprehension Pointing,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension pointing
nab,NAB,Auditory Comprehension Shapes,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehension paper shapes
nab,NAB,Auditory Comprehension Yes/No,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension yes/no
nab,NAB,Reading Comprehension,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,"Reading comprehension, which the patient was shown a photograph of an object along with six printed words (five foil words and the sixth word that correctly named the object), requiring them to point to the correct word, and then presented with a photograph of a scene involving one or more people engaged in an activity with four printed sentences (three foil sentences and the fourth sentence correctly describing the photograph), requiring them to point to the correct sentence"
nab,NAB,Reading Comprehension Sentences,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,Reading comprehension for sentences
nab,NAB,Reading Comprehension Words,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,Reading comprehension for words
nab,NAB,Design Construction,Visual Perception/Construction,Construction,Figure Construction,Simultaneous,Nonverbal,Timed,npsych_test,t_score,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus
nab,NAB,List Learning List A Long Delayed Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled after a long delay following the initial learning trials of List A
nab,NAB,List Learning List A Short Delayed Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled after a short delay following the initial learning trials of List A
nab,NAB,List Learning List A Discriminability Index,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target words in the forced-choice recognition task for List A after a long delay
nab,NAB,List Learning List A Long Delayed Forced-Choice Recognition,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"Number of words correctly recognized from List A after a long delay, using a forced-choice format"
nab,NAB,List Learning List A Long Delayed Forced-Choice Recognition False Alarms,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task for List A after a long delay"
nab,NAB,Shape Learning Delayed Forced-Choice Recognition,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Number of shapes correctly recognized after a delay using a forced-choice format
nab,NAB,Shape Learning Delayed Forced-Choice Recognition False Alarms,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task after a delay"
nab,NAB,Shape Learning Discriminability Index,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target shapes in the forced-choice recognition task after a delay
nab,NAB,Story Learning Phrase Unit Delayed Recall,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of important phrases recalled after a delay, without hearing the story again"
nab,NAB,Story Learning Thematic Unit Delayed Recall,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of key ideas or themes recalled after a delay, without hearing the story again"
nab,NAB,Figure Drawing Immediate Recall,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,The accuracy of recalling and drawing a figure immediately after seeing it
nab,NAB,Shape Learning Delayed Recognition,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized after a delay following the initial learning trials
nab,NAB Daily Living,Driving Scenes,Daily Living,Everyday Attention,Everyday Attention,Attention,,Timed,npsych_test,t_score,"A test of visual scanning, attention to detail, and selective attention requiring the patient to view a series of successive driving scenes (as viewed from behind a steering wheel) and then indicate subtle changes of what was new, different, or missing relative to the previously viewed scene"
nab,NAB Daily Living,Judgment,Daily Living,Everyday Executive,Everyday Executive,Knowledge,Verbal,Untimed,npsych_test,t_score,Judgment and decision-making in everyday situations
nab,NAB Daily Living,Bill Payment,Daily Living,Everyday Language,Everyday Language,Planning,,Untimed,npsych_test,t_score,"Performance on a bill payment task in which the patient was presented with a utility bill statement, check ledger, check, and envelope, and asked to follow a series of commands requiring oral and written responses of increasing complexity"
nab,NAB Daily Living,Daily Living Memory Delayed Recall,Daily Living,Everyday Memory,Everyday Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks recalled after a delay
nab,NAB Daily Living,Daily Living Memory Immediate Recall,Daily Living,Everyday Memory,Everyday Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks recalled immediately after presentation
nab,NAB Daily Living,Medication Instructions Delayed Recall,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions recalled after a delay
nab,NAB Daily Living,Medication Instructions Immediate Recall,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions recalled immediately after presentation
nab,NAB Daily Living,Name/Address/Phone Delayed Recall,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number recalled after a delay"
nab,NAB Daily Living,Name/Address/Phone Immediate Recall,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number recalled immediately after presentation"
nab,NAB Daily Living,Daily Living Memory Recall vs. Recognition,Daily Living,Everyday Memory,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized
nab,NAB Daily Living,Daily Living Memory Retention,Daily Living,Everyday Memory,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The percentage of daily living tasks retained over time compared to the initial recall
nab,NAB Daily Living,Daily Living Memory Delayed Recognition,Daily Living,Everyday Memory,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks correctly recognized after a delay
nab,NAB Daily Living,Medication Instructions Delayed Recognition,Daily Living,Everyday Memory,Recognition Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions correctly recognized after a delay
nab,NAB Daily Living,Name/Address/Phone Delayed Recognition,Daily Living,Everyday Memory,Recognition Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number correctly recognized after a delay"
nab,NAB Daily Living,Map Reading,Daily Living,Everyday Spatial,Everyday Spatial,Planning,Nonverbal,Untimed,npsych_test,t_score,The ability to understand and interpret map information
nab,NAB,Categories,Attention/Executive,Executive,Concept Formation,Attention,,Untimed,npsych_test,t_score,Concept formation and abstract reasoning
nab,NAB,Word Generation,Attention/Executive,Executive,Generativity,Sequential,Verbal,Timed,npsych_test,t_score,"Retrieval fluency, ideational fluency, and generativity"
nab,NAB,Figure Drawing Copy Fragmentation,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The degree of fragmentation when copying a figure from a model
nab,NAB,Figure Drawing Copy Organization,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The organization of elements when copying a figure from a model
nab,NAB,Figure Drawing Immediate Recall Fragmentation,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The degree of fragmentation when recalling and drawing a figure immediately after seeing it
nab,NAB,Figure Drawing Immediate Recall Organization,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The organization of elements when recalling and drawing a figure immediately after seeing it
nab,NAB,List Learning Semantic Clusters,Attention/Executive,Executive,Organization,Planning,Verbal,Untimed,npsych_test,t_score,Number of semantically related clusters of words recalled during the List Learning task
nab,NAB,Figure Drawing Copy Planning,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,The planning involved in copying a figure from a model
nab,NAB,Figure Drawing Immediate Recall Planning,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,The planning involved in recalling and drawing a figure immediately after seeing it
nab,NAB,Mazes,Attention/Executive,Executive,Planning,Planning,Nonverbal,Timed,npsych_test,t_score,"Planning and foresight, inhibition, and psychomotor speed examined through a series of timed maze-tracing tasks of increasing difficulty"
nab,NAB,Writing Conveyance,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,A cohensive theme and conveyance when writing
nab,NAB,Writing Legibility,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,Writing legibility 
nab,NAB,Writing Spelling,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,Correct spelling during writing
nab,NAB,Writing Syntax,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,Appropriate use of syntax when writing
nab,NAB,Executive Functions Index (EXE),Attention/Executive,Executive Index,Executive Index,,,,npsych_test,standard_score,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity"
nab,NAB,Naming,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,t_score,Word-finding ability and retrieval fluency on a confrontation naming task
nab,NAB,Naming Phonemic Cuing,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,base_rate,Picture naming phonemic cuing
nab,NAB,Naming Semantic Cuing,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,base_rate,Picture naming semantic cuing
nab,NAB,Oral Production,Verbal/Language,Expression,Verbal Expression,Sequential,Verbal,Untimed,npsych_test,t_score,Timed oral productivity and the ability to generate descriptive components of a picture of a family scene on a task requiring initiating and sustaining verbal behavior
nab,NAB,Writing,Verbal/Language,Expression,Written Expression,Sequential,Nonverbal,Untimed,npsych_test,t_score,On a measure of narrative writing in which the patient was shown the same colorful picture of a family scene used in the oral production test and then asked to write about the scene
nab,NAB,Language Index (LAN),Verbal/Language,Language Index,Language Index,,,,npsych_test,standard_score,"A composite language measure of the patient's ability to access and apply acquired word knowledge, to verbalize meaningful concepts, think about verbal information, and express themself using words fell in the Average classification range."
nab,NAB,Story Learning Phrase Unit Immediate Recall,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled immediately after hearing the entire story
nab,NAB,Story Learning Thematic Unit Immediate Recall,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled immediately after hearing the entire story
nab,NAB,Story Learning Trial 1 Phrase Unit,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the first attempt
nab,NAB,Story Learning Trial 1 Thematic Unit,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the first attempt
nab,NAB,Shape Learning Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized immediately after all learning trials
nab,NAB,Shape Learning Trial 1 Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the first trial of a shape-learning task
nab,NAB,Shape Learning Trial 2 Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the second trial of a shape-learning task
nab,NAB,Shape Learning Trial 3 Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the third trial of a shape-learning task
nab,NAB,List Learning List A Immediate Recall,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled immediately after all learning trials of List A
nab,NAB,List Learning List A Trial 1 Immediate Recall,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the first trial of a list-learning task
nab,NAB,List Learning List A Trial 2 Immediate Recall,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the second trial of a list-learning task
nab,NAB,List Learning List A Trial 3 Immediate Recall,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the third trial of a list-learning task
nab,NAB,List Learning List B Immediate Recall,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,"Total words recalled immediately after a single presentation of List B, an interference list"
nab,NAB,Memory Index (MEM),Memory,Memory Index,Learning/Memory Index,,,,npsych_test,standard_score,A composite measure of the examinee's verbal and visual memory functioning
nab,NAB,Total NAB Index (T-NAB),General Cognitive Ability,Neurocognitive Index,General Ability,,,,npsych_test,standard_score,"An omnibus measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language processing, visuospatial processing, and learning and memory"
nab,NAB,Figure Drawing Copy,Visual Perception/Construction,Organization,Figure Copy,Planning,Nonverbal,Untimed,npsych_test,t_score,The accuracy of copying a figure from a model
nab,NAB,Visual Discrimination,Visual Perception/Construction,Perception,Visual Perception,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail"
nab,NAB,Numbers & Letters Part A Efficiency,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,t_score,Focused attention and rapid visual scanning on a while performing a selective attention letter-cancellation task (motor)
nab,NAB,Numbers & Letters Part A Speed,Attention/Executive,Processing Speed,Psychomotor Speed,Planning,Nonverbal,Timed,npsych_test,t_score,Focused attention and rapid visual scanning
nab,NAB,Figure Drawing Percent Retention,Memory,Rapid Forgetting,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,The percentage of the figure retained and accurately redrawn after a delay
nab,NAB,List Learning List A Percent Retention,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,"Percentage of words retained from List A after a delay, calculated as the ratio of words recalled after the delay to the words recalled immediately"
nab,NAB,List Learning List A Recall vs. Recognition Index,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized
nab,NAB,Shape Learning Percent Retention,Memory,Rapid Forgetting,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,"Percentage of shapes retained after a delay, calculated as the ratio of shapes recognized after the delay to the shapes recognized immediately"
nab,NAB,Story Learning Phrase Unit Percent Retention,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The percentage of important phrases retained after a delay compared to the initial recall immediately after hearing the story
nab,NAB,Story Learning Trial 2 Phrase Unit,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the second attempt
nab,NAB,Story Learning Trial 2 Thematic Unit,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the second attempt
nab,NAB,Spatial Index (SPT),Spatial,Spatial Index,Visuospatial Index,,,,npsych_test,standard_score,"A composite screening measure of visuoperceptual skills, attention to detail, and visuoconstructional skills"
nab,NAB,Dots,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Timed,npsych_test,t_score,"Performance on a delayed recognition visual span task, in which an array of dots was exposed for a brief period, followed by a blank page, and then a new array with one additional dot that the patient had to point out"
nab,NAB,Digits Backward,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,t_score,A measure of both attentional capacity and working memory
nab,NAB,Digits Backward Longest Span,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,raw_score,Working memory for orally presented information
nabs,NAB-S,NAB Attention Index,Attention/Executive,Attention,Attention Index,,,,npsych_test,standard_score,An overall screening measure of the examinee's attentional functioning
nabs,NAB-S,Digits Forward,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory attentional capacity, or how much information can be processed at once"
nabs,NAB-S,Digits Forward Longest Span,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,raw_score,Auditory attentional capacity
nabs,NAB-S,Numbers & Letters Part B Efficiency,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,t_score,"Performance on a complex measure of divided attention, information processing speed, and inhibition"
nabs,NAB-S,Orientation,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,percentile,"Orientation to person, place, time, and situation"
nabs,NAB-S,Numbers & Letters Part A Errors,Attention/Executive,Attention,Response Monitoring,Attention,Nonverbal,Timed,npsych_test,t_score,"A marker of reduced focus, or selective attention, distractibility, or reduced concentration, and diminished sustained attention"
nabs,NAB-S,Word Generation Perseverations,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,percentile,Self-monitoring and perseverative tendencies
nabs,NAB-S,Design Construction,Visual Perception/Construction,Construction,Figure Construction,Simultaneous,Nonverbal,Timed,npsych_test,t_score,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus
nabs,NAB-S,Story Learning Delayed Recall,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Delayed recall of the story details over time
nabs,NAB-S,Story Learning Percent Retention,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,percentile,"The percentage of story detail retained over time, scaled to how much was initially learned"
nabs,NAB-S,Shape Learning Delayed Recognition,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Recognition of the target visual material among nontarget distractors after a delay period
nabs,NAB-S,Shape Learning Percent Retention,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,"Percentage of visual detail retained over time, scaled to how much was initially learned"
nabs,NAB-S,NAB Executive Functions Index,Attention/Executive,Executive,Executive Function Index,,,,npsych_test,standard_score,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity"
nabs,NAB-S,Word Generation,Attention/Executive,Executive,Generativity,Sequential,Verbal,Timed,npsych_test,t_score,"Retrieval fluency, ideational fluency, and generativity"
nabs,NAB-S,Mazes,Attention/Executive,Executive,Planning,Planning,Nonverbal,Timed,npsych_test,t_score,"Planning and foresight, inhibition, and psychomotor speed examined through a series of maze-tracing tasks"
nabs,NAB-S,NAB Total Index,General Cognitive Ability,General Ability,Neurocognitive Index,,,,npsych_test,standard_score,"A comprehensive measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language, spatial processing, and memory"
nabs,NAB-S,Story Learning Immediate Recall,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Performance on a more complex one-trial verbal learning and recall task (story learning)
nabs,NAB-S,Shape Learning Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Learning and recognition of visual material (abstract shapes)
nabs,NAB-S,Auditory Comprehension,Verbal/Language,Listening Ability,Auditory Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)"
nabs,NAB-S,NAB Memory Index,General Cognitive Ability,Memory,Memory Index,,,,npsych_test,standard_score,A composite measure of the examinee's verbal and visual memory functioning
nabs,NAB-S,Visual Discrimination,Visual Perception/Construction,Perception,Visual Processing,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail"
nabs,NAB-S,Numbers & Letters Part A Efficiency,Attention/Executive,Processing Speed,Cognitive Efficiency,Attention,Nonverbal,Timed,npsych_test,t_score,An overall measure of efficiency in performing a selective attention letter cancellation task
